epoch,train_loss,train_acc@1,train_acc@5,test_loss,test_acc@1,test_acc@5
1,3.2138254639434813,25.996000000000002,54.31,2.7275391563415528,33.72,64.09
2,2.591485591430664,35.788,66.496,2.4997407371520994,37.43,68.27
3,2.409016142196655,39.358,69.95,2.3820866424560547,39.73,70.36
4,2.3003090574645997,41.542,72.07000000000001,2.305323928833008,41.410000000000004,71.83
5,2.2205039421081545,43.11,73.58200000000001,2.250597678375244,42.77,72.50999999999999
6,2.1604385621643067,44.308,74.592,2.207029168701172,43.62,73.37
7,2.107994642944336,45.406,75.626,2.171538381958008,44.36,74.08
8,2.063786618041992,46.458,76.47,2.14465145111084,45.050000000000004,74.61
9,2.0272849852752683,47.252,77.11,2.1185313888549806,45.410000000000004,75.19
10,1.9932631455993652,47.972,77.776,2.1017473793029784,45.660000000000004,75.44
11,1.962917622718811,48.676,78.282,2.0791075485229493,46.400000000000006,75.62
12,1.9369871001815795,49.2,78.704,2.0623550437927247,46.94,76.08
13,1.9120841402435302,50.092000000000006,79.192,2.0465825946807863,46.800000000000004,76.24
14,1.8891366299819947,50.556,79.47,2.034033921051025,47.48,76.69
15,1.8690667889022827,50.822,79.96,2.022552250289917,47.349999999999994,76.96
16,1.8479811271667481,51.282000000000004,80.294,2.011504271697998,48.07,76.84
17,1.8340011529541016,51.536,80.7,2.0002390884399412,48.04,77.14999999999999
18,1.8139885578155517,52.193999999999996,80.872,1.9904107109069824,48.42,77.3
19,1.7998747626113891,52.556000000000004,81.082,1.9847722229003906,48.5,77.17
20,1.7840304693222047,52.861999999999995,81.358,1.9760849014282227,48.339999999999996,77.82
21,1.7689554454803467,53.09,81.6,1.9664710563659669,48.76,77.84
22,1.7573148071670532,53.334,81.774,1.9597706634521483,49.07,77.60000000000001
23,1.7447987469482422,53.876000000000005,82.02000000000001,1.9543569610595704,49.26,77.74
24,1.732369394454956,53.986000000000004,82.132,1.948342448425293,49.26,77.79
25,1.722517455215454,54.25600000000001,82.304,1.9445868171691894,49.419999999999995,77.94
26,1.7090389840698241,54.562,82.612,1.936943992614746,49.51,77.98
27,1.6981255163574218,54.848,82.88799999999999,1.9351391437530518,49.45,77.73
28,1.6881837633514405,55.044000000000004,82.80199999999999,1.9280072364807128,49.71,77.94
29,1.6797316457748412,55.066,83.218,1.9222066829681397,49.6,78.06
30,1.670259387435913,55.489999999999995,83.162,1.9230119705200195,49.63,78.25999999999999
31,1.6610239151000976,55.596000000000004,83.41199999999999,1.920540558242798,49.58,78.34
32,1.653267568092346,55.80199999999999,83.524,1.9185154586791993,49.75,78.25999999999999
33,1.6455385515594483,55.992,83.636,1.9152225448608398,49.99,78.27
34,1.637701197128296,56.04,83.76599999999999,1.9119817176818847,49.75,78.38000000000001
35,1.6289643348312377,56.418,83.918,1.9075765754699707,50.42,78.57
36,1.6225931214141847,56.422000000000004,84.006,1.904397599029541,50.23,78.46
37,1.6141838359832763,56.77799999999999,84.194,1.903928904724121,50.339999999999996,78.69
38,1.6080844689941407,56.976000000000006,84.222,1.900091753387451,50.22,78.75
39,1.6000661785507202,57.044,84.37,1.8964420181274415,50.4,78.53999999999999
40,1.5935330751419068,57.294,84.504,1.9041429306030273,49.78,78.49000000000001
41,1.586298230857849,57.55200000000001,84.578,1.894728630065918,50.54,78.56
42,1.5814357750701904,57.374,84.564,1.89443231010437,50.46000000000001,78.60000000000001
43,1.5758771192932128,57.53,84.636,1.8915189811706543,50.32,78.57
44,1.568549001235962,57.926,84.818,1.8876722904205323,50.839999999999996,78.5
45,1.5633945922088623,57.867999999999995,84.86,1.8897299388885498,50.41,78.43
46,1.5560769355010986,58.216,84.99600000000001,1.8929452896118164,50.449999999999996,78.63
47,1.5528849171829224,58.264,84.978,1.8912951652526855,50.449999999999996,78.74
48,1.5493305171966554,58.218,85.136,1.8876243412017821,50.6,78.96
49,1.5444838131713867,58.404,85.16,1.8862638668060303,50.32,78.78
50,1.5377808326721192,58.626,85.202,1.8825843696594238,50.4,78.7
51,1.5344256021499634,58.542,85.332,1.8857818786621094,50.41,78.88
52,1.5290817130279541,58.736,85.436,1.8823606510162354,50.71,78.62
53,1.5251085292434692,58.714,85.47,1.8809261096954346,50.470000000000006,78.69
54,1.5191121301651,58.964000000000006,85.68,1.8807435821533203,50.55,78.85
55,1.5129768811035156,59.148,85.528,1.8846927970886231,50.59,78.7
56,1.5104116466522217,59.138000000000005,85.684,1.8846061698913574,50.339999999999996,79.03999999999999
57,1.5056601952743531,59.418000000000006,85.75399999999999,1.8814379180908203,50.71,78.85
58,1.5015687227630614,59.406000000000006,85.872,1.8846673892974855,50.43,78.63
59,1.4962223324203492,59.396,85.83800000000001,1.880485196685791,50.63999999999999,78.81
60,1.495799504547119,59.519999999999996,85.884,1.8822929264068604,50.339999999999996,78.92
61,1.4908046869659424,59.599999999999994,86.004,1.8794743858337402,50.690000000000005,78.89
62,1.4860884830093384,59.842,86.02199999999999,1.8841280067443849,50.470000000000006,78.8
63,1.483835118408203,59.75,86.086,1.8759773433685303,50.72,78.96
64,1.479350495223999,59.814,86.182,1.878432248687744,50.8,78.85
65,1.4749063009643555,60.041999999999994,86.158,1.8777752883911132,50.94,79.08
66,1.4735090643692017,60.002,86.354,1.8801219291687012,50.519999999999996,78.88
67,1.4689633132171631,60.122,86.232,1.873107753753662,51.2,79.0
68,1.4650510439682007,60.282000000000004,86.374,1.87522445602417,50.91,78.88
69,1.4620092346954345,60.55199999999999,86.272,1.8798871147155762,50.54,78.77
70,1.4578972675323487,60.492000000000004,86.478,1.8757037914276122,50.6,79.05
71,1.4547357816314697,60.62,86.502,1.875893681716919,51.019999999999996,78.77
72,1.4538169378280639,60.582,86.554,1.8747865234375,50.61,78.92
73,1.448758951034546,60.716,86.47,1.868737018585205,51.160000000000004,79.03
74,1.4465527767562867,60.846000000000004,86.532,1.8771570613861084,50.86000000000001,78.67
75,1.444438433227539,60.64000000000001,86.616,1.8799720615386963,50.470000000000006,78.7
76,1.4410638171768189,60.864,86.66,1.8769880115509032,50.660000000000004,78.73
77,1.4382716091156005,60.868,86.746,1.8796854675292969,51.080000000000005,78.91
78,1.4348812108612061,60.95399999999999,86.68599999999999,1.8774566486358644,50.62,78.77
79,1.4314704291152953,61.146,86.842,1.8738806350708008,50.94,78.97999999999999
80,1.4295502191162108,61.065999999999995,86.91799999999999,1.8740884841918946,50.77,78.86
81,1.4273621004486083,61.14000000000001,86.828,1.8799850845336914,50.760000000000005,78.74
82,1.4256274004364013,61.212,86.898,1.875825478363037,50.91,78.99000000000001
83,1.4214240007781982,61.202,86.938,1.8749534881591796,50.839999999999996,79.13
84,1.4178908158111572,61.50600000000001,87.046,1.8803498611450196,50.760000000000005,78.88
85,1.4172832341766357,61.546,87.074,1.8788983528137206,50.81,79.07
86,1.4128274913787842,61.448,87.152,1.8834456550598144,50.81,78.72
87,1.4112842448425293,61.641999999999996,87.03,1.8804571258544922,50.55,79.0
88,1.411991339378357,61.422,87.042,1.8787383308410646,50.91,79.09
89,1.4087553282165528,61.548,87.18,1.8765872020721435,50.81,79.05
