epoch,train_loss,train_acc@1,train_acc@5,test_loss,test_acc@1,test_acc@5
1,0.8115544417381286,73.462,95.462,0.602091569519043,79.39,98.65
2,0.5677918290519715,80.708,98.87599999999999,0.582714334487915,80.08,98.69
3,0.5565613494491577,80.76,98.91799999999999,0.5794086848735809,80.11,98.8
4,0.5544650665283203,80.78999999999999,98.914,0.5711842463970185,80.49,98.86
5,0.5515480212020875,80.996,98.888,0.5721024100780487,80.49,98.78
6,0.5505781680488586,80.976,98.924,0.5697278039932251,80.36,98.8
7,0.5514937763595581,81.04599999999999,98.882,0.5741819850921631,80.4,98.77
8,0.5484042981910705,80.914,98.924,0.5704699520111084,80.32000000000001,98.86
9,0.5493002438354492,81.07799999999999,98.86,0.5702552580833435,80.56,98.8
10,0.5488423978996276,81.03399999999999,98.91799999999999,0.5704212863445282,80.57,98.82
11,0.5487758039474487,80.982,98.916,0.5697418270587921,80.38,98.8
12,0.5484454729652405,81.04400000000001,98.886,0.5681083523750305,80.43,98.81
13,0.5475663670730591,81.146,98.956,0.569647939825058,80.46,98.81
14,0.5480659574222565,81.07799999999999,98.91,0.5677074673652649,80.49,98.74000000000001
15,0.5480230358695984,81.036,98.91,0.5671983385086059,80.65,98.8
16,0.5474626362609863,81.098,98.936,0.5669962732791901,80.69,98.83
17,0.5481348040676117,81.01,98.932,0.5644734195709229,80.55,98.86
18,0.5480020263290405,81.066,98.872,0.5685244137763977,80.49,98.8
19,0.5483914274501801,81.048,98.962,0.5719454271316529,80.17999999999999,98.81
20,0.54543812707901,81.096,98.98,0.567488170337677,80.55,98.82
21,0.5474761041450501,81.03,98.898,0.5668592874526978,80.53,98.83
22,0.5467641380500794,81.04400000000001,98.926,0.570112613773346,80.47,98.78
23,0.5450905062103272,81.04400000000001,98.926,0.5666483118057251,80.66,98.81
24,0.5474720822143555,81.104,98.92999999999999,0.5672944826602936,80.61,98.8
25,0.5471894013404847,80.994,98.91799999999999,0.5676232335090637,80.64,98.85000000000001
26,0.5459723823165894,81.174,98.94,0.5703949371814728,80.38,98.81
27,0.5456420257949829,81.052,98.966,0.566397371673584,80.58,98.91
28,0.5468632371330261,81.106,98.914,0.5650636762619019,80.62,98.83
29,0.5458920199584961,81.14,98.91799999999999,0.5674657422542572,80.41,98.83
30,0.5445100583076478,81.03200000000001,98.97,0.5672680481910706,80.42,98.77
31,0.5464905398750305,81.098,98.958,0.5672777010440826,80.51,98.83999999999999
32,0.5450797671699524,81.16799999999999,98.912,0.5655809855937958,80.78999999999999,98.9
33,0.5458197923183441,81.082,98.936,0.564017403125763,80.58,98.86
34,0.5462525465011596,81.04400000000001,98.94,0.566894378232956,80.41,98.85000000000001
35,0.5456618477630615,81.04400000000001,98.942,0.5679077180862426,80.54,98.82
36,0.543766974105835,81.108,98.966,0.5683900389194488,80.39,98.74000000000001
37,0.5461399656105042,81.10199999999999,98.92999999999999,0.5649566662311554,80.67999999999999,98.83
38,0.5459114099502563,81.138,98.924,0.563889078092575,80.75,98.78
39,0.5447878198051452,81.014,98.902,0.5681361818313598,80.45,98.79
40,0.5457158125114441,81.06,98.96000000000001,0.566038140630722,80.34,98.77
41,0.5462570204544067,81.092,98.92999999999999,0.5608153491020202,80.85,98.9
42,0.5436714047336578,81.146,98.968,0.5666802094459533,80.49,98.83
43,0.5453258395767212,81.128,98.962,0.5683531797885895,80.55,98.81
44,0.5445001352691651,81.066,98.952,0.565530073928833,80.5,98.79
45,0.5452523353672027,80.976,98.926,0.5628228768825531,80.64,98.85000000000001
46,0.5451238170051574,81.172,98.896,0.5644319494247436,80.63,98.86
47,0.5470607109069824,81.136,98.912,0.5643089796543121,80.42,98.82
48,0.5448003979110718,80.984,98.922,0.5655952042579651,80.47999999999999,98.8
49,0.5441981080532075,81.194,98.97,0.5655653835296631,80.82000000000001,98.83
50,0.5452606953525543,81.10199999999999,98.908,0.5630113298416137,80.72,98.78
51,0.5420607951545715,81.22399999999999,98.964,0.5630411118030548,80.55,98.87
52,0.5447398417854309,81.02000000000001,98.994,0.5621443536758423,80.55,98.83999999999999
53,0.5441379852294922,81.16600000000001,98.954,0.5650236779689789,80.4,98.83
54,0.5469258569145202,81.028,98.938,0.5604340490818024,80.73,98.83999999999999
55,0.5439314393615723,81.014,98.946,0.5624184188842773,80.60000000000001,98.86
56,0.5442548498344422,81.05,98.94800000000001,0.5637488110065461,80.47,98.8
57,0.545393569393158,81.08999999999999,98.942,0.5641937236785889,80.67999999999999,98.76
58,0.5439010702705384,81.128,98.924,0.5655952117919922,80.49,98.77
59,0.5445202298164368,81.15,98.978,0.5676100165843964,80.44,98.8
60,0.5441877073764801,81.10000000000001,98.91799999999999,0.5633216313362122,80.4,98.83
61,0.5430178493690491,81.176,98.91799999999999,0.5652978521823883,80.43,98.78
62,0.5442217505073548,81.08,98.966,0.5615200129508973,80.69,98.82
63,0.543209291229248,81.21199999999999,98.98,0.562828071308136,80.64,98.77
64,0.5427051597499848,81.138,98.942,0.5656104970455169,80.54,98.72
65,0.5435531957626343,81.19,98.95,0.5638830030441284,80.62,98.79
66,0.5436809317970276,81.24,98.926,0.5648463649272919,80.69,98.75
67,0.543102763557434,81.17,98.936,0.5661346506595611,80.33,98.85000000000001
68,0.5441294673347473,81.106,98.946,0.5663323355674743,80.72,98.82
69,0.5434558044338227,81.172,98.936,0.5623339179992676,80.51,98.86
70,0.544718274269104,80.99,98.98,0.5626223531723022,80.55,98.8
71,0.5448457552337647,81.122,98.966,0.5618649077892304,80.57,98.85000000000001
72,0.5424858290290833,81.15,98.96000000000001,0.5642847910404205,80.5,98.8
73,0.5430182765102386,81.13,98.976,0.5611732834339141,80.47999999999999,98.77
74,0.5433871878242492,81.2,98.99,0.5662403758049012,80.56,98.83
75,0.5430618195438385,81.306,98.978,0.5630528636455536,80.62,98.83
76,0.5424723325538635,81.15599999999999,98.92999999999999,0.56308232588768,80.62,98.77
77,0.542157162361145,81.24,98.958,0.5624737184524536,80.61,98.91
78,0.5423474068069458,81.146,98.964,0.5609147197246551,80.77,98.83999999999999
79,0.5422007911491394,81.128,98.95,0.5649049123764038,80.81,98.79
80,0.5436058867549897,81.016,98.942,0.5679009821891785,80.38,98.78
81,0.5422466145515442,81.266,98.97200000000001,0.5649332287788391,80.58999999999999,98.85000000000001
82,0.5411048879432678,81.232,98.96000000000001,0.5632938802719116,80.82000000000001,98.79
83,0.5422717956733704,81.244,98.956,0.5611908268451691,80.58999999999999,98.81
84,0.5421990307998658,81.374,98.97200000000001,0.5617589760303497,80.84,98.81
85,0.5437577164268493,81.098,98.946,0.5608407203674316,80.47999999999999,98.91
86,0.5432458038139343,81.16600000000001,98.97,0.5642532282829285,80.57,98.77
87,0.5422902736091614,81.074,98.978,0.5658461593151093,80.67999999999999,98.83
88,0.5429391942596435,81.258,98.97399999999999,0.5644795890808105,80.62,98.79
89,0.5435501196670532,81.312,98.97,0.5646581454277039,80.64,98.83999999999999
90,0.5429729073143006,81.226,98.946,0.5633324858665466,80.39,98.86
91,0.5415964043998718,81.316,98.958,0.5638582142353058,80.53,98.83999999999999
92,0.543816353559494,81.072,98.936,0.5633466585159301,80.77,98.8
93,0.5426661509513855,81.164,98.96000000000001,0.5665385364055634,80.67,98.83
94,0.5421180175971985,81.10199999999999,98.97399999999999,0.5642731533050537,80.96,98.79
95,0.5418382487297058,81.184,98.978,0.5622062311172485,80.88,98.75
96,0.5421726160240173,81.152,98.944,0.567468195772171,80.7,98.81
