epoch,train_loss,train_acc@1,train_acc@5,test_loss,test_acc@1,test_acc@5
1,1.825954455833435,33.251999999999995,83.056,1.5208424053192138,44.82,90.92
2,1.496357013282776,46.512,90.25800000000001,1.1582433898925781,59.050000000000004,94.83
3,1.2995702553939819,53.52,92.764,1.142513416481018,60.88,95.27
4,1.189956363544464,57.879999999999995,93.762,0.9739824482917786,65.78,97.38
5,1.1008044791030884,61.275999999999996,94.83200000000001,0.8147525751113892,71.28999999999999,97.97
6,1.0430145476531982,63.41,95.178,0.9502483592987061,68.49,97.21
7,0.9976902703094482,64.924,95.542,0.8247069812774658,72.77,98.17
8,0.9536188470840454,66.654,95.85000000000001,0.7544001586914062,74.46000000000001,98.18
9,0.9201032793807984,67.78999999999999,96.20400000000001,0.6543260562896729,77.84,98.46000000000001
10,0.885023560256958,68.774,96.45,0.8087453676223755,73.88,97.18
11,0.8769444909667968,69.35,96.318,0.6358178050518036,77.81,98.86
12,0.8478844775390625,70.26599999999999,96.602,0.6752682483673096,77.2,98.53
13,0.819109414024353,71.148,96.828,0.6558613837242127,77.53999999999999,98.79
14,0.8054013433265687,71.894,97.0,0.6246429679870605,79.46,98.76
15,0.7893810178375245,72.476,96.868,0.567259561252594,80.57,99.16
16,0.7692485533332825,72.97200000000001,96.934,0.6002916829109192,79.53,98.98
17,0.7627062350654602,73.234,97.102,0.5349348696708679,82.27,99.00999999999999
18,0.7407272456359864,74.05199999999999,97.32600000000001,0.5108542838096619,82.69999999999999,99.22
19,0.7284203587150574,74.53999999999999,97.396,0.5886624061584472,80.4,99.07000000000001
20,0.7184729775619507,75.006,97.356,0.4883499678134918,83.63000000000001,99.29
21,0.7051227611541748,75.622,97.404,0.480260680770874,83.59,99.25
22,0.6968953445625305,75.77199999999999,97.428,0.5359778615951538,81.67999999999999,99.17
23,0.6873538764762879,75.996,97.506,0.45505445342063905,84.48,99.42
24,0.6801149733734131,76.158,97.57000000000001,0.4877096236228943,83.35000000000001,99.13
25,0.6725692125320435,76.388,97.544,0.5195758912086487,83.17999999999999,99.1
26,0.6702155993747712,76.626,97.502,0.4414239936351776,85.00999999999999,99.38
27,0.6498592511177063,77.42,97.70400000000001,0.4812880563020706,84.32,99.2
28,0.6415291334915161,77.574,97.804,0.4251623406410217,85.8,99.51
